"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 24 02:13:33 GMT 2024","Mon Jun 24 02:13:33 GMT 2024","893","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC02 Check navigation menu"
"passed","Mon Jun 24 02:13:31 GMT 2024","Mon Jun 24 02:13:32 GMT 2024","942","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC02 Check navigation menu"
"passed","Mon Jun 24 02:13:25 GMT 2024","Mon Jun 24 02:13:26 GMT 2024","1247","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC02 Check navigation menu"
"passed","Mon Jun 24 02:13:36 GMT 2024","Mon Jun 24 02:13:38 GMT 2024","1977","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","testProduct",""
"passed","Mon Jun 24 02:13:34 GMT 2024","Mon Jun 24 02:13:35 GMT 2024","934","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC02 Check navigation menu"
"passed","Mon Jun 24 02:13:23 GMT 2024","Mon Jun 24 02:13:24 GMT 2024","449","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseUrl","testOpenBaseUrl","TC01 Open base URL"
"passed","Mon Jun 24 02:13:27 GMT 2024","Mon Jun 24 02:13:28 GMT 2024","1153","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC02 Check navigation menu"
"passed","Mon Jun 24 02:13:29 GMT 2024","Mon Jun 24 02:13:30 GMT 2024","970","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC02 Check navigation menu"
