"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 24 02:08:39 GMT 2024","Mon Jun 24 02:08:40 GMT 2024","1130","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC02 Check navigation menu"
"passed","Mon Jun 24 02:08:44 GMT 2024","Mon Jun 24 02:08:46 GMT 2024","2036","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","testProduct",""
"passed","Mon Jun 24 02:08:42 GMT 2024","Mon Jun 24 02:08:43 GMT 2024","835","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC02 Check navigation menu"
"passed","Mon Jun 24 02:08:37 GMT 2024","Mon Jun 24 02:08:38 GMT 2024","854","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC02 Check navigation menu"
"passed","Mon Jun 24 02:08:32 GMT 2024","Mon Jun 24 02:08:33 GMT 2024","402","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseUrl","testOpenBaseUrl","TC01 Open base URL"
"passed","Mon Jun 24 02:08:41 GMT 2024","Mon Jun 24 02:08:41 GMT 2024","823","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC02 Check navigation menu"
"passed","Mon Jun 24 02:08:34 GMT 2024","Mon Jun 24 02:08:35 GMT 2024","1015","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC02 Check navigation menu"
"passed","Mon Jun 24 02:08:35 GMT 2024","Mon Jun 24 02:08:36 GMT 2024","883","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC02 Check navigation menu"
