"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 24 02:01:40 GMT 2024","Mon Jun 24 02:01:41 GMT 2024","1026","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC02 Check navigation menu"
"passed","Mon Jun 24 02:01:38 GMT 2024","Mon Jun 24 02:01:39 GMT 2024","1006","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC02 Check navigation menu"
"passed","Mon Jun 24 02:01:37 GMT 2024","Mon Jun 24 02:01:37 GMT 2024","471","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseUrl","testOpenBaseUrl","TC01 Open base URL"
"passed","Mon Jun 24 02:01:44 GMT 2024","Mon Jun 24 02:01:45 GMT 2024","1009","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC02 Check navigation menu"
"passed","Mon Jun 24 02:01:42 GMT 2024","Mon Jun 24 02:01:43 GMT 2024","1143","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC02 Check navigation menu"
"passed","Mon Jun 24 02:01:50 GMT 2024","Mon Jun 24 02:01:52 GMT 2024","1975","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProduct","testProduct",""
"passed","Mon Jun 24 02:01:46 GMT 2024","Mon Jun 24 02:01:47 GMT 2024","1015","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC02 Check navigation menu"
"passed","Mon Jun 24 02:01:48 GMT 2024","Mon Jun 24 02:01:49 GMT 2024","1058","CrossBrowser Test Suite","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","testNavigationMenu","TC02 Check navigation menu"
